title,author,post,category;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"None of my friends and family ask how I am going,UID2161,""I feel so unworthy, like I don't matter, like noone cares. None of my friends and family have asked how I am going with my depression. I feel so alone. Anyone UID3760 have the same experience as me?"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Psychitrist Retired, Long term patient,UID372,""Hey ladies and gents, i have been seeing a psychitrist for 13 years and 4 months ago he mentioned he was retiring in 12 months i than seen him again two months ago and it was mentioned we still had 12 months to plan stuff out I showed up today an the doc said it was my last visit he was retiring today i may be able to see another psychitrist but unsure if he will take on my case i have been diagnosed with schitzaphrenia spectrum order other problems i have are ocd, major depression, anxiety, paranoia I have had the paranoia and schizaphernia since i was 13 years old i went into hiding most of my life not leaving the house for months and months but came out of my shell around 20 years old around 16 i started getting depression but it didnt hit me untill 24-25 now i struggle from than to today im 38 with deep depression i smile on the outside but i am mentally a mess its rare a day passes i dont get suicide thoughts since being on medication my depression is still the same, my paranoia went very silent for several years but iver the past year it is creeping back up i just lost several friends due to it Who or what do i do now? Im on centrelink and have been pretty much my whole life i have had around 15 jobs when i was younger but couldnt work anymore than 2 days at ghe same place, i have been on dsp for the past 12-13 years and i understand the pension gets reviewed in febuary my doctor is no longer around what do i do who do i turn to now?"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Pregnant and worried about the future ,UID372,""Sorry if this is hard to understand... I’m 22 weeks pregnant and recently some problems have been coming up involving my relationship, work and the future. I’ve just gone into my 20s and my partner and I have a 12 year age gap. He works 5 to 6 days a week whereas I’m only a casual and work very short shifts about 2 to 4 times a week. He is getting very stressed about being broke especially when baby comes. We have only been together just over a year and I had doubts coming into this relationship because I knew we were at very different stages in our lives. Although he was still living with his parents he had it set that he wanted to get married, have a family and buy his own house. I was 19 when we met and not doing very well in life, not having finished school and I had unaddressed issues with depression and was also developing anxiety. These were the reasons for my doubts, I worried I couldn’t pull myself out of it and build the lifestyle and career that I would need to UID1059 him get where he wanted to be in life. We’ve come along way since then and are renting our own house as well as having a baby on the way. Anyway, I’ve been going in and out of depression since being pregnant. I really want to have this baby, I had an early miscarriage a few months before becoming pregnant again, so I’m very happy about this pregnancy however I’m struggling to find motivation in all other aspects of my life. I’m finding it increasingly hard to enjoy work as I didn’t particularly like my job before. This is making me want to avoid it even more Because of the way it makes me feel. This is now causing problems in my relationship and I feel like I’m making my partner unhappy especially since he has problems with depression as well. We come from very different families and upbringings, I have a family history of alcoholics, addicts and mental health problems. I’m worried that my partner thinks I will end up the same, I don’t feel like I’m good enough to fit into his life and family. He says he loves me but I’m worried that will change if I can’t be happier and find some motivation. I’m worried that I’ll never be able to be the person he wanted. I don’t understand why is so hard for me to just get up and do the things I need to and why the more I think about it the more I just want to curl up and not talk to anyone. I want to be the kind of person who is happy and motivated to work hard. I don’t want this to ruin my relationship. I need some advice, I don’t know what to do."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Does anyone else feel the same? ,UID372,""I’m not sure what the feeling is but I’ve felt strange for over 7 years. I go through waves of feeling great to being extremely down to the point that arguments take over my emotion and make me feel so low to the point life is not worth feeling these emotions anymore. Because it comes in such waves and isn’t consistent, I’ve struggled to seek UID1059 with this because quickly I can feel fine and I think it must be a ‘blip’. Does anyone else experience this?"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Depression- how to survive it,UID786,""Survival, what an ultimatum of a word. But in my 63 years I have survived and gone further, how to remain strong and healthy while enduring depression. "",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Words of encouragement needed,UID3762,""I just did TMS for a pretty bad depression, only done one side so far but was told to wait 2 weeks for the brain to have a rest and then onto left side. The mood and irritability which can very often turn to anger is quite the task to manage gonna see doctor to see if anything can be done whilst i wait to do more tms and dealing with family members has been interesting of late hah. I'm just neeeding to some words of encouragement, prayers also welcome hah whatever you have. I'm both amazed ive dealt with this problem for so many years and just what the power of our brain chemistry when things are disrupted. Anyway cheers"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"New and Seeking Advice,UID372,""I’m not diagnosed with anything or on any medication. Hi, for the last few years I’ve suffered only what I can describe as depressive episodes, and other emotional mood swings. There seems to be very little that prompts these, as I can be with friends and enjoying myself one moment and then the next suicidal, I’m aware the whole time that nothing is wrong or should be but I am reduced to near tears. I rarely act on these impulses, and there’s enough of a period between them where I question if there’s anything actually wrong. Mostly I am also struck by a great deal of lethargy and try to stay asleep as long as I can, and a lot of the things I once enjoyed no longer hold any interest to me. It feels like the luster has gone out of life and I’m only existing out of obligation. Though, I do not feel I am in any immediate danger to myself, I have made attempts in the past and it is a daily thought or consideration, and I find thoughts such as “kill yourself”, “go die” come unprompted and even to the point I sometimes verbalise them without thinking. I will be taking steps to see a GP and work on my mental health plan, it's just all a little confusing and I feel lost in it."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bipolar 2 - Recent diagnosis,UID372,""Hi all I have recently had a diagnosis of with Bipolar 2. It is as if everything in my life to date makes complete and perfect sense. I grew up in an extremely abusive household. That aside my memories of certain situations and things I have done are now making sense. I have been on and off anti-depressants for a very long time. They always worked fast and stop working after a few years. I have seen counselors and psychologists and finally gave up and went to see a psychiatrist. After a thorough and detailed history she said I think 'you have bipolar 2'. Her explanations and discussion explained me exactly. More UID1183 than happy. Go for days feeling pretty crappy functioning and feeling so low and then out of nowhere I am happy. When I am happy I am stupid happy-over confident, can do anything, joking, singing, multi task off the charts, mind racing, chatty, obsessed with sexual thoughts but risky sex, the best way to explain it is that I feel 'high and floaty'. As suddenly as it comes it goes and I'm back to mopey. sad and thinking that everyone hates me. This has gone on forever. And got worse as I have gotten older. So now I am taking new medication at night to assist in a stabilizing my mood and and anti-depressent for anxiety/depression during the day. I feel relieved and even more so the nutcase. I have always felt alone and on the outside of what others call 'life' - friends, parties, travel cars, excitement etc. I am intolerant of superficial things and I can go from pretty okay to angry, angry in a flash. I hate anything that I perceive as unfair. I feel like an emo fairy. I feel like I have no tribe. I hate it and everyday it feels like I have to rebuild myself and put myself back together again. How do I make and keep friends? How do I trust after a childhood of severe abandonment? Any comments or suggestions or stories or what ever useful."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Relying on others for happiness,UID372,""I recently confided in a friend that I feel very lonely and UID1183 because I have so little social contact with any of my friends anymore. I am now in my fourth year of uni and each year has been more difficult because friends don't have as much free time. I spent a lot of Fridays and Saturdays working over the last three years and couldn't go out but no one is free to do anything anymore now that I'm more freed up. My social life is one-way texts (me texting friends and not getting anything back) and brief coffees every few months that I have to work hard to arrange. I also feel bad because the only time my friends usually reach out to me is when UID1518 need UID1059 with assessment. I know UID1518 aren't trying to hurt my feelings but it's very bad for your self-worth when people only contact you unexpectedly when UID1518 need to improve their grades. My birthday is also coming up in two weeks and I don't want to plan anything because I can't deal with being turned down by people anymore. With so many knockbacks when I try to have fun, I've resorted to doing heaps of things on my own. Some of these things have been good but I still feel really lonely and UID1183. When I told my friend all of this, she said I shouldn't rely on other people for my happiness. It's not that she wasn't otherwise supportive, I just feel out of ideas since I need to be social to be happy. After months of going alone, I need more social time with my friends but that seems impossible. And given my struggles right now, that's all I need. Making new friends at 22 is confronting, terrifying and humiliating. Any advice is welcome. I am still friends with that friend but I was a bit taken aback by her advice not to rely on people when I was just saying I need more contact."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Depressed Family Member,UID372,""Hi all, i have a close family member who has depression (not diagnosed), she has had it for a long time and it’s continuing to get worse and I don’t know what to do anymore. She gets extremely jealous If positive things happen to others, she is insecure about her looks & weight and hates going to crowded places, she’s always negative and becomes irritable easy and thinks she is a victim of the world basically. I have tried being patient and listen, being positive to boost her mood, I have snapped at her at times because I seem to be her outlet for all she is feeling which is makes me feel down after speaking with her and she just won’t get UID1059. She doesn’t think she needs to talk to a professional or that it will do anything and her physical health is not the greatest (she won’t do anything about that either). So I just don’t know what to do anymore without getting dragged into her negative feelings. Her workplace have pulled her up on her negative attitude and approachability but even this isn’t a trigger for her to change. Any advice is appreciated!"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
In mental bondage,UID372,Hi I’m new UID3760 and just needed somewhere to share what’s been going on inside me. My depression goes in weekly cycles and its mentally exhausting. I’m not on medication and I don’t want to be as in the past UID1518 through me around a bit. I feel I can manage my lows with regular running. But when it hits me it really hits me and I don’t understand the reason for being alive. I don’t like this world and I don’t want to be a part of it. These thoughts immobilise me and I literally cannot leave the house. I feel like I’m screaming through a glass box on the top of a hill and no one can see or hear me. Does anyone else feel this imprisonment and isolation of depression?,depression;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"wishing to connect with others in the same mental space,UID3762,""After many years with mixed success on medication for unipolar depression, I am trying a ' magnetic' treatment, we can't mention treatments can we hah? Have had the illness since I was 18 like I said with mixed success , have found the illness confusing at times but am looking forward to seeying if this treatment gives me some clarity, my mother passed two years ago so thats also made things interesting, I try to keep my sense of humour as it has kept me somewhat steady through some rough seas. Hah this has turned it to more of a ramble but yeah."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"I don’t want to fall back down the dark hole again ,UID11,""lately I’ve been feeling like I’m starting to fall back down that dark hole again. I haven’t been there in a long time. It started with the small thoughts just those little ones to make you feel a bit worthless, makes you question yourself, your worth, your purpose. Then it started to get a bit darker and I started having thoughts about how life would be better without me, other people wouldn’t care if I wasn’t around. Those sorts of dark thoughts that can really weaken your mindset. I’ve been trying so hard to just remind myself that UID1518’re not true and maybe I’m just over tired from work or maybe I’m just bored with how my life is right now but I have things to look forward to in the coming months I just need to be patient, I’m going to graduate soon I’m going to start a new career next year. I shouldn’t believe these thoughts but I’m also so so scared that I’m just trying to convince my self everything is okay, like sugar coating when really I’m just ignoring the beginning warning signs that I might be falling back into depression. please if anyone has any way I can try and fight these thoughts to UID1059 me stay strong and to not let it progress any further then please provide me some insight or advice. I don’t want to fall back down that dark hole, I’ve been winning this battle for 2 years now and I’ve come so far. Thankyou."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"""This RamblingRose is Emotionally Fragile, Almost Broken yet Need to Keep Positve"",UID372,""Hello Everyone on the Beyond Blue Forum & Staff. My Introduction to All. This is my First Post to Beyond Blue though I'm familiar with this Excellent Forum. I have returned to the BB forum for support because I found it useful so I have decided start/join again. Everyone who posted in the past did a great job. So Thank you for having me back Beyond Blue. I haven't much to say due to severe anxiety/depression/post traumatic stress disorder. Am on medication, see health professionals regularly to keep things in check. Beyond Blue Thank you."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"What strategies or things do you employ during your bipolar episodes -  both manic and depressive,UID2020,""Hi everyone, Today I'm struggling to find something to pre-occupy me. Legally I'm supposed to have a carer watch over me due to my strong medications. I have a lot of interests but today it feels like one of those days where you start something and then move on and do something else. When I'm manic (based on memory) Based on depression: Strategies: Manic: art, music (567 songs and still counting), comics, knitting, cleaning (UID1263y person) but I really did tidy up the house in just a few days my SO was shocked... usually when I clean I make a mess , walk the dog if i can stay calm Depressed: I do as above but i dont feel like doing it. I don't have any motivation or energy. I wake up in a house that's empty. Well I'm also UID3760 on forums wanting to find someone or people who can relate to this. There are days where I question who I am, is it me or not me and question whether I said the wrong thing? This is my first time being alone on recovery. So I've been in psych wards twice. And my last two episodes were voluntary and hypo... my meds are high risk the psych said if i need a higher dosage i'd have to be hospitalised."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Triggers- what are your distractions for recovery?,UID786,""Do you suffer from triggers? What is a trigger? For me, a trigger is a moment that panic can set in quickly. From that moment on it is a battle to overcome the fallout. Often a panic attack will accompany the shaking, the stress and for me anyhow- the overwhelming temptation to- cry. Today it happened. My wife and I went for a drive for coffee. Lovely UID1978 winters day arrived at our favourite country general store café at a very small town only to see the """"closed"""" sign. Ok, we'll go to a country house nearby where UID1518 advertise Devonshire tea. As we pulled up the thought came to me about cash. The other place took eftpos which is what we use all the time. This little place isn't likely to take cards. As the old lady approached I didn't have time to talk about it to my wife...in fact the old lay was impossible to interrupt so I could speak about the matter. On and on she talked as we walked about 50 metres to the """"tea rooms"""" all the while not able to talk. As we arrived at the rotunda I had to interrupt but the shakes started and I was desperate with wanting to ask my wife if she had any real money. So out it came """"do you take eftpos"""" I asked. At that exact moment an old man called out to the old lady something about taking his dogs to a friends place. She walked towards him out of sight. So I didn't get my answer. This freaked me out more in frustration. I turned to my wife and asked her """"I hope you have cash""""? """"Oh, she thought, """"I don't think so"""". I had to return to the car where I found $8 in coins then returned and my wife found $5 in her purse. The old lady returned and we asked the cost of Devonshire tea and she replied """"$16""""- we were short $3. She was ok with that and being locals we'd make up for it when seeing her in town. The event shook me up. The rotunda and nearby sheds had jugs as a display many of them so it was a distraction. About 20 minutes later I was 90% recovered. The overwhelming desire is to cry but being older and male it doesn't come. Distraction is my tool for recovery. I don't think there is a better or faster remedy. Do you know of any? Prevention is better than cure and having $50 or so on you is the preventative measure. We'll try and do that of course. UID3981l free to contribute. "",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Has anyone experienced Hypomania? I've experienced it twice and have questions about it.,UID2020,""Hi my name is J, In the last two years - I have had two hypomanic episodes where I could still somewhat function as normal: my symptoms were not obvious . I feel that these are worse than when I was in full episodes yet I cant remember a lot, which is probably why. Going through this episode, not being put in hospital, and coping with being alone during the day makes me feel lonely but i choose not to have any trains of thoughts but by being pre-occupied with something. I'm a high maintenance/ require a lot of things to do to burn off at the beginning - but now i feel flat and on the UID1183 side which is usually me. SO My questions are: Have you had a hypomanic episode? How did you know/feel/think you were having one? Were your symptoms obvious or not obvious? It's emotionally and mentally draining watching myself having hypomania Hope to hear from you - I am actually UID1183... I have no friends UID1518're more aquaintances"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Introduction;" Hi I am J I have bipolar and I would love to make some friends,UID2020,""Hi my name is """"J"""" as a pseudonym and I am a 26 year old female. I have had the mood disorder bipolar disorder since 2011. So far I have had 4 different types of episodes - so it makes my life and my carer's life a little more challenging to identify symptoms of bipolar. I rarely tell people I have bipolar - the stigma is still there, even though the psychiatrist says I'm an elevated person - I'm rather UID1183 and pessimistic. People treat me differently when I say bipolar yet if I said depression or anxiety it appears to be an accepted thing. I've gone through a lot in 2018 for my 2nd last episode - ask If you want to - and to this day it still affects m - I think during that period of my time I literally became a broken person. It was one problem after the other. I am being currently cared for but sometimes I get upset when he offhand says something like """"taking you the hospital would've been easier"""" duding a tiff... I cried a bit he was the one who adamant about me not getting placed into the hospital. I'd like to get to know more people who are like minded:"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Taking the next step,UID372,I was orginally diagnosed with PTSD anxiety and depression after an being a first responder ro a heart attack victim. UID2181 that i am showing good recovery signs the doc is talking about going medication reduction. Was just woundering if others have been through the process an have any advice going foward to the next step in my own personal recovery,depression;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Feeling lost and alone ,UID372,For the last couple days I’ve been feeling really overwhelmed with starting university again and the demands of work. I feel like I’m soo far left behind academically and it’s too late to ask my tutors for UID1059 and other students already made their little group of friends. I don’t want to disappoint my family for wanting to take a break this semester... I can’t speak to my family members cause I’m scared of disappointing them and the last time I opened up to a friend ended our relationship (I haven’t spoken to her in weeks when I told her about my ‘eating habits’.,depression;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
